Ticker,Report Date,Fiscal Year,Fiscal Period,Adj. Open,Adj. Close,PeriodReturn,Altman Z-Score,Piotroski F-Score,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Debt Ratio,Earnings Per Share (Diluted),Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Return On Invested Capital,Cash Return On Invested Capital,Dividend Payout Ratio,Net Debt / EBITDA,Net Debt / EBIT
A,2011-01-31,2011,Q1,41.21,27.09,-0.1137,1.79,5,0.5372,0.13891,0.12706,0.0578,0.02399,0.42564,3.27027,0.26591,0.54366,4.37752,9.60231,0.23674,0.03168,0.01349,,-1.82117,-2.36493
A,2011-10-31,2011,Q4,39.85,24.01,0.1458,2.16,9,0.53299,0.18113,0.16725,0.06696,0.03191,1.5879,3.03157,0.24125,0.8187,4.99422,12.45087,1.32631,0.04029,0.06398,0,-3.56915,-4.28754
A,2012-01-31,2012,Q1,43.33,27.51,-0.0047,2.11,6,0.53456,0.16575,0.14067,0.05112,0.02528,0.45298,3.35191,0.2397,0.65341,4.69828,12.91954,0.29938,0.03129,0.01417,0,-4.44745,-5.46494
A,2012-04-30,2012,Q2,42.51,27.38,-0.0898,2.2,,0.52972,0.17311,0.14714,0.05397,0.02709,1.23958,3.2752,0.23128,0.72034,4.97989,13.56897,0.90832,0.03856,0.04203,0.13725,-4.76177,-5.73
A,2012-07-31,2012,Q3,38.03,24.92,-0.0578,2.15,4,0.51654,0.1567,0.14103,0.04987,0.02491,0.7572,2.01483,0.22691,0.68839,4.95115,13.99425,0.52874,0.03548,0.02348,0.14403,0.82203,1.07778
A,2012-10-31,2012,Q4,36,23.48,0.2474,2.14,5,0.52179,0.15733,0.24052,0.08197,0.04034,0.99706,2.44532,0.22418,1.20397,5.07759,14.8908,1.21768,0.05389,0.04975,0.08,0.02957,0.03957
A,2013-01-31,2013,Q1,44.35,29.29,-0.072,2.01,4,0.52381,0.12917,0.10655,0.03345,0.0168,1.04154,2.55255,0.22163,0.50852,4.8415,15.4121,0.53728,0.02461,0.02144,0.19553,-0.28617,-0.41014
A,2013-04-30,2013,Q2,41.2,27.18,0.0824,2,5,0.51443,0.12298,0.09584,0.03127,0.01568,1.5865,2.52516,0.22254,0.47564,5.02029,15.37681,0.76336,0.02418,0.03076,0.24699,-0.53443,-0.76526
A,2013-07-31,2013,Q3,45.04,29.42,0.1377,1.84,6,0.51816,0.14286,0.10169,0.03507,0.01635,0.96386,2.95742,0.26279,0.4898,4.87316,14.12094,0.47767,0.0249,0.01929,0.24405,1.13456,1.57203
A,2013-10-31,2013,Q4,51.15,33.47,0.1482,0.78,6,0.61538,0.23932,-0.18889,0.04178,0.02068,1.55781,3.11049,0.25257,0.65774,-3.51351,15.87387,1.03386,0.0297,0.03933,0.17647,-0.12848,-0.08571
A,2014-01-31,2014,Q1,58.61,38.43,-0.0684,2,6,0.52517,0.13025,0.11625,0.0358,0.01833,0.76438,3.27502,0.25334,0.57692,5.03744,16.34835,0.44761,0.02727,0.01701,0.22564,-0.14945,-0.21512
A,2014-04-30,2014,Q2,53.43,35.8,0.0402,1.97,6,0.5179,0.12087,0.08019,0.02469,0.01261,1.96029,3.12798,0.24424,0.41246,5.20532,16.89489,0.81826,0.02046,0.03046,0.31655,-0.83846,-1.22664
A,2014-07-31,2014,Q3,56.22,37.24,-0.0121,2.23,6,0.51755,0.1302,0.0834,0.02606,0.01416,-0.24473,3.06143,0.21349,0.43491,5.27716,16.87725,-0.10771,0.02246,-0.00423,0.29932,-0.56446,-0.76256
A,2014-10-31,2014,Q4,55.21,36.79,0.0421,1.74,5,0.49661,0.09632,0.00888,0.00302,0.00148,7.57108,3.25591,0.25494,0.04724,5.43422,15.96687,0.36516,0.00702,0.01418,2.7478,-1.30287,-1.51856
A,2015-04-30,2015,Q2,41.83,38.34,-0.0078,2.13,5,0.49844,0.11111,0.09034,0.02091,0.01174,1.87537,3.89247,0.22342,0.25816,2.88323,12.4491,0.48849,0.01907,0.02593,0.37931,-3.18235,-5.05607
A,2015-07-31,2015,Q3,41.05,38.04,0.0786,2.24,5,0.50592,0.14201,0.10155,0.02508,0.0142,0.69822,4.07737,0.22824,0.30831,3.05422,12.35843,0.21656,0.02178,0.01152,0.32047,-2.03883,-2.91667
A,2016-10-31,2016,Q4,43.33,41.03,0.1272,2.12,7,0.52925,0.16472,0.11341,0.02967,0.01617,1.44434,3.84656,0.24429,0.38415,3.42901,13.09568,0.56169,0.02461,0.02731,0.30159,-1.69954,-2.10383
A,2017-01-31,2017,Q1,48.04,46.25,0.2266,2.17,6,0.53796,0.19306,0.15745,0.03907,0.02134,0.50027,3.33792,0.25305,0.51534,3.31366,13.34472,0.26101,0.03074,0.0123,0.25,-0.95402,-1.20874
A,2017-07-31,2017,Q3,60.32,56.73,0.1401,2.2,7,0.53501,0.18043,0.15709,0.03795,0.02118,1.05557,3.21998,0.25191,0.53681,3.4704,14.35514,0.57546,0.03031,0.0258,0.24,-1.9127,-2.39801
A,2017-10-31,2017,Q4,67.74,64.68,0.0818,2.37,8,0.54415,0.16769,0.14886,0.03661,0.02101,1.29997,3.30087,0.23867,0.54128,3.66975,14.91049,0.71017,0.03059,0.03199,0.24294,-2.23504,-3.34526
